Estado ,Tasa* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,516.27 , 2 801 ,  271 ,  259 ,  272 ,  202 ,  236 ,  253 ,  177 ,  224 ,  192 ,  345 ,  200 ,  170
Baja California ,544.89 , 8 105 ,  657 ,  590 ,  599 ,  551 ,  742 ,  567 ,  541 ,  866 ,  729 ,  989 ,  715 ,  559
Baja California Sur ,452.87 , 1 134 ,  80 ,  105 ,  92 ,  94 ,  117 ,  80 ,  65 ,  105 ,  82 ,  140 ,  110 ,  64
Campeche ,365.91 , 1 423 ,  126 ,  170 ,  112 ,  86 ,  105 ,  104 ,  129 ,  129 ,  113 ,  142 ,  113 ,  94
Coahuila ,735.64 , 9 398 ,  880 ,  743 ,  719 ,  715 ,  897 ,  752 ,  676 , 1 012 ,  862 ,  874 ,  689 ,  579
Colima ,402.36 , 1 204 ,  124 ,  89 ,  77 ,  88 ,  109 ,  76 ,  71 ,  104 ,  100 ,  146 ,  93 ,  127
Chiapas ,304.92 , 6 791 ,  550 ,  593 ,  587 ,  548 ,  661 ,  539 ,  495 ,  652 ,  505 ,  636 ,  564 ,  461
Chihuahua ,475.27 , 8 191 ,  870 ,  718 ,  734 ,  729 ,  743 ,  647 ,  527 ,  713 ,  699 ,  712 ,  565 ,  534
Distrito Federal ,526.70 , 23 846 , 2 328 , 2 003 , 2 045 , 1 914 , 2 300 , 2 018 , 1 936 , 2 254 , 1 706 , 2 320 , 1 645 , 1 377
Durango ,664.49 , 5 216 ,  618 ,  502 ,  500 ,  485 ,  489 ,  420 ,  404 ,  431 ,  357 ,  400 ,  333 ,  277
Guanajuato ,463.57 , 12 141 , 1 177 ,  975 , 1 091 ,  991 , 1 272 ,  980 ,  948 , 1 103 ,  945 , 1 139 ,  857 ,  663
Guerrero ,496.73 , 8 185 ,  787 ,  685 ,  773 ,  663 ,  811 ,  704 ,  659 ,  841 ,  676 ,  714 ,  544 ,  328
Hidalgo ,308.35 , 3 776 ,  328 ,  322 ,  331 ,  331 ,  379 ,  320 ,  301 ,  395 ,  292 ,  346 ,  249 ,  182
Jalisco ,608.29 , 21 038 , 2 070 , 1 679 , 1 894 , 1 336 , 1 897 , 1 455 , 1 663 , 2 256 , 1 774 , 2 196 , 1 662 , 1 156
México ,378.96 , 28 253 , 2 787 , 2 465 , 2 273 , 2 009 , 2 748 , 2 370 , 2 188 , 2 501 , 2 282 , 2 810 , 2 054 , 1 766
Michoacán ,309.38 , 6 706 ,  569 ,  499 ,  518 ,  536 ,  612 ,  583 ,  491 ,  662 ,  597 ,  685 ,  526 ,  428
Morelos ,717.36 , 6 280 ,  623 ,  524 ,  520 ,  420 ,  586 ,  518 ,  463 ,  633 ,  497 ,  585 ,  488 ,  423
Nayarit ,466.83 , 2 320 ,  229 ,  219 ,  193 ,  202 ,  216 ,  208 ,  159 ,  231 ,  176 ,  225 ,  142 ,  120
Nuevo León ,398.73 , 8 527 ,  786 ,  675 ,  742 ,  666 ,  888 ,  697 ,  621 ,  769 ,  715 ,  867 ,  618 ,  483
Oaxaca ,389.35 , 7 405 ,  724 ,  665 ,  600 ,  662 ,  714 ,  637 ,  604 ,  718 ,  603 ,  559 ,  498 ,  421
Puebla ,400.59 , 11 351 , 1 154 ,  943 ,  999 ,  918 , 1 097 ,  939 ,  841 , 1 011 ,  851 , 1 067 ,  858 ,  673
Querétaro ,320.19 , 2 627 ,  206 ,  169 ,  198 ,  208 ,  283 ,  230 ,  182 ,  288 ,  238 ,  272 ,  185 ,  168
Quintana Roo ,190.11 , 1 038 ,  90 ,  70 ,  100 ,  71 ,  99 ,  93 ,  77 ,  106 ,  106 ,  110 ,  75 ,  41
San Luis Potosí ,545.68 , 6 692 ,  622 ,  528 ,  546 ,  497 ,  759 ,  524 ,  525 ,  636 ,  552 ,  645 ,  495 ,  363
Sinaloa ,574.31 , 7 921 ,  833 ,  577 ,  513 ,  491 ,  625 ,  690 ,  651 ,  860 ,  669 ,  872 ,  602 ,  538
Sonora ,379.55 , 4 718 ,  492 ,  394 ,  341 ,  382 ,  468 ,  336 ,  309 ,  459 ,  376 ,  524 ,  339 ,  298
Tabasco ,409.30 , 4 268 ,  444 ,  297 ,  362 ,  308 ,  362 ,  317 ,  349 ,  483 ,  368 ,  475 ,  336 ,  167
Tamaulipas ,547.46 , 8 763 ,  722 ,  698 ,  635 ,  640 ,  683 ,  744 ,  685 ,  927 ,  781 , 1 003 ,  716 ,  529
Tlaxcala ,337.67 , 1 851 ,  193 ,  157 ,  172 ,  144 ,  150 ,  159 ,  143 ,  189 ,  146 ,  186 ,  111 ,  101
Veracruz ,318.10 , 11 765 , 1 018 ,  927 ,  967 ,  841 , 1 081 ,  960 ,  890 , 1 301 ,  949 , 1 143 ,  939 ,  749
Yucatán ,586.95 , 5 383 ,  516 ,  455 ,  418 ,  393 ,  504 ,  419 ,  387 ,  591 ,  379 ,  575 ,  372 ,  374
Zacatecas ,331.31 , 2 407 ,  190 ,  192 ,  193 ,  191 ,  219 ,  179 ,  216 ,  258 ,  196 ,  259 ,  162 ,  152
TOTAL GLOBAL ,446.63 , 241 524 , 23 064 , 19 887 , 20 116 , 18 312 , 22 852 , 19 518 , 18 373 , 23 708 , 19 513 , 23 961 , 17 855 , 14 365
