Estado,"","","","","","","","","","","","",""
"",Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes , 4 330 ,  488 ,  419 ,  464 ,  366 ,  367 ,  336 ,  440 ,  348 ,  268 ,  337 ,  269 ,  228
Baja California , 9 137 ,  797 ,  658 ,  722 ,  729 ,  884 ,  791 ,  943 ,  867 ,  823 ,  869 ,  618 ,  436
Baja California Sur , 1 333 ,  111 ,  93 ,  110 ,  104 ,  152 ,  116 ,  131 ,  108 ,  92 ,  140 ,  94 ,  82
Campeche , 1 355 ,  121 ,  95 ,  83 ,  96 ,  169 ,  114 ,  146 ,  105 ,  123 ,  147 ,  94 ,  62
Coahuila , 8 165 ,  711 ,  582 ,  837 ,  735 ,  901 ,  682 ,  941 ,  661 ,  618 ,  826 ,  360 ,  311
Colima ,  923 ,  95 ,  63 ,  64 ,  72 ,  86 ,  71 ,  82 ,  94 ,  80 ,  106 ,  45 ,  65
Chiapas , 7 898 ,  703 ,  628 ,  585 ,  696 ,  778 ,  668 ,  691 ,  647 ,  660 ,  798 ,  578 ,  466
Chihuahua , 10 994 , 1 271 ,  990 ,  999 ,  952 , 1 200 ,  868 , 1 047 ,  795 ,  744 ,  935 ,  758 ,  435
Distrito Federal , 15 764 , 1 517 , 1 136 , 1 285 , 1 234 , 1 630 , 1 307 , 1 459 , 1 377 , 1 270 , 1 583 , 1 137 ,  829
Durango , 4 602 ,  491 ,  365 ,  377 ,  397 ,  464 ,  366 ,  438 ,  406 ,  334 ,  391 ,  331 ,  242
Guanajuato , 8 200 ,  761 ,  620 ,  638 ,  692 ,  838 ,  760 ,  703 ,  555 ,  581 ,  866 ,  703 ,  483
Guerrero , 7 316 ,  655 ,  594 ,  632 ,  602 ,  715 ,  656 ,  697 ,  631 ,  598 ,  608 ,  570 ,  358
Hidalgo , 5 782 ,  463 ,  425 ,  409 ,  471 ,  614 ,  508 ,  528 ,  475 ,  490 ,  598 ,  487 ,  314
Jalisco , 17 427 , 1 967 , 1 635 , 1 498 , 1 421 , 1 825 , 1 430 , 1 592 , 1 322 , 1 129 , 1 521 , 1 181 ,  906
México , 34 584 , 3 024 , 2 538 , 2 717 , 2 558 , 3 543 , 2 892 , 3 247 , 2 803 , 2 826 , 3 697 , 2 782 , 1 957
Michoacán , 6 781 ,  641 ,  457 ,  582 ,  528 ,  614 ,  580 ,  699 ,  559 ,  523 ,  620 ,  540 ,  438
Morelos , 5 740 ,  604 ,  523 ,  470 ,  432 ,  544 ,  466 ,  558 ,  481 ,  424 ,  486 ,  398 ,  354
Nayarit , 2 654 ,  259 ,  204 ,  277 ,  209 ,  317 ,  196 ,  255 ,  171 ,  200 ,  223 ,  168 ,  175
Nuevo León , 8 817 ,  740 ,  664 ,  656 ,  701 ,  874 ,  736 ,  942 ,  784 ,  678 ,  878 ,  650 ,  514
Oaxaca , 7 989 ,  513 ,  574 ,  656 ,  699 ,  922 ,  791 ,  776 ,  665 ,  582 ,  783 ,  606 ,  422
Puebla , 9 383 ,  922 ,  788 ,  792 ,  829 , 1 020 ,  761 ,  832 ,  785 ,  710 ,  820 ,  593 ,  531
Querétaro , 3 217 ,  290 ,  252 ,  246 ,  233 ,  326 ,  258 ,  292 ,  254 ,  281 ,  329 ,  224 ,  232
Quintana Roo , 1 706 ,  179 ,  184 ,  162 ,  140 ,  205 ,  162 ,  164 ,  120 ,  116 ,  115 ,  88 ,  71
San Luis Potosí , 7 066 ,  618 ,  561 ,  556 ,  587 ,  700 ,  625 ,  703 ,  588 ,  546 ,  679 ,  519 ,  384
Sinaloa , 10 556 ,  998 ,  859 ,  878 ,  807 , 1 117 ,  940 , 1 027 ,  791 ,  835 , 1 010 ,  762 ,  532
Sonora , 5 883 ,  672 ,  523 ,  456 ,  423 ,  560 ,  462 ,  558 ,  541 ,  466 ,  530 ,  356 ,  336
Tabasco , 5 025 ,  514 ,  454 ,  436 ,  369 ,  511 ,  413 ,  511 ,  417 ,  416 ,  472 ,  321 ,  191
Tamaulipas , 8 528 ,  785 ,  717 ,  649 ,  672 ,  852 ,  661 ,  866 ,  627 ,  656 ,  791 ,  708 ,  544
Tlaxcala , 2 298 ,  206 ,  178 ,  186 ,  169 ,  217 ,  186 ,  222 ,  149 ,  205 ,  238 ,  174 ,  168
Veracruz , 16 092 , 1 395 , 1 321 , 1 372 , 1 246 , 1 532 , 1 488 , 1 590 , 1 315 , 1 192 , 1 492 , 1 172 ,  977
Yucatán , 3 590 ,  224 ,  207 ,  275 ,  270 ,  311 ,  262 ,  407 ,  339 ,  329 ,  400 ,  312 ,  254
Zacatecas , 2 633 ,  262 ,  268 ,  230 ,  206 ,  217 ,  257 ,  232 ,  181 ,  194 ,  253 ,  195 ,  138
TOTAL GLOBAL , 245 768 , 22 997 , 19 575 , 20 299 , 19 645 , 25 005 , 20 809 , 23 719 , 19 961 , 18 989 , 23 541 , 17 793 , 13 435
