Estado ,Total ,ENE ,FEB ,MAR ,ABR ,MAY ,JUN ,JUL ,AGO ,SEP ,OCT ,NOV ,DIC
Aguascalientes , 2 357 ,  91 ,  89 ,  150 ,  115 ,  122 ,  255 ,  245 ,  294 ,  337 ,  219 ,  193 ,  247
Baja California , 6 850 ,  545 ,  487 ,  586 ,  515 ,  513 ,  857 ,  689 ,  529 ,  653 ,  535 ,  438 ,  503
Baja California Sur ,  847 ,  85 ,  85 ,  96 ,  82 ,  61 ,  84 ,  60 ,  76 ,  72 ,  60 ,  51 ,  35
Campeche ,  907 ,  50 ,  74 ,  78 ,  90 ,  78 ,  85 ,  73 ,  63 ,  67 ,  62 ,  53 ,  134
Coahuila , 5 604 ,  612 ,  537 ,  643 ,  571 ,  475 ,  556 ,  404 ,  249 ,  468 ,  394 ,  323 ,  372
Colima ,  807 ,  59 ,  61 ,  83 ,  54 ,  65 ,  80 ,  79 ,  63 ,  62 ,  54 ,  63 ,  84
Chiapas , 4 729 ,  359 ,  367 ,  519 ,  427 ,  379 ,  436 ,  331 ,  349 ,  436 ,  386 ,  386 ,  354
Chihuahua , 7 635 ,  636 ,  656 ,  788 ,  668 ,  627 ,  816 ,  610 ,  601 ,  651 ,  512 ,  512 ,  558
Distrito Federal , 14 345 , 1 192 , 1 270 , 1 457 , 1 152 , 1 100 , 1 463 , 1 086 , 1 139 , 1 253 , 1 056 , 1 065 , 1 112
Durango , 3 340 ,  272 ,  271 ,  348 ,  310 ,  263 ,  323 ,  186 ,  236 ,  312 ,  279 ,  245 ,  295
Guanajuato , 6 578 ,  577 ,  577 ,  721 ,  628 ,  513 ,  690 ,  444 ,  448 ,  541 ,  521 ,  445 ,  473
Guerrero , 5 118 ,  410 ,  450 ,  447 ,  418 ,  365 ,  543 ,  408 ,  438 ,  447 ,  494 ,  343 ,  355
Hidalgo , 2 731 ,  236 ,  227 ,  255 ,  220 ,  253 ,  306 ,  214 ,  203 ,  239 ,  202 ,  190 ,  186
Jalisco , 13 472 , 1 177 , 1 127 , 1 256 , 1 057 , 1 072 , 1 313 , 1 017 , 1 024 , 1 223 , 1 042 , 1 071 , 1 093
México , 23 751 , 2 051 , 1 873 , 2 570 , 2 027 , 1 785 , 2 627 , 1 794 , 1 678 , 2 046 , 1 807 , 1 799 , 1 694
Michoacán , 6 318 ,  525 ,  453 ,  580 ,  446 ,  403 ,  622 ,  471 ,  593 ,  576 ,  490 ,  562 ,  597
Morelos , 4 169 ,  335 ,  369 ,  438 ,  365 ,  294 ,  426 ,  310 ,  301 ,  414 ,  264 ,  327 ,  326
Nayarit , 1 520 ,  104 ,  119 ,  148 ,  123 ,  138 ,  181 ,  89 ,  119 ,  107 ,  123 ,  122 ,  147
Nuevo León , 7 066 ,  588 ,  661 ,  677 ,  659 ,  649 ,  650 ,  511 ,  475 ,  509 ,  576 ,  604 ,  507
Oaxaca , 5 011 ,  383 ,  423 ,  486 ,  396 ,  422 ,  514 ,  406 ,  436 ,  437 ,  353 ,  388 ,  367
Puebla , 6 646 ,  538 ,  587 ,  658 ,  595 ,  529 ,  633 ,  458 ,  482 ,  593 ,  512 ,  487 ,  574
Querétaro , 2 299 ,  190 ,  172 ,  238 ,  216 ,  213 ,  219 ,  168 ,  148 ,  187 ,  206 ,  162 ,  180
Quintana Roo , 1 345 ,  109 ,  109 ,  138 ,  117 ,  129 ,  108 ,  84 ,  120 ,  104 ,  106 ,  104 ,  117
San Luis Potosí , 4 773 ,  377 ,  396 ,  483 ,  354 ,  426 ,  489 ,  363 ,  334 ,  411 ,  388 ,  360 ,  392
Sinaloa , 5 725 ,  509 ,  409 ,  525 ,  538 ,  445 ,  588 ,  430 ,  484 ,  548 ,  481 ,  399 ,  369
Sonora , 4 030 ,  324 ,  334 ,  424 ,  387 ,  309 ,  435 ,  297 ,  351 ,  379 ,  309 ,  233 ,  248
Tabasco , 3 321 ,  297 ,  333 ,  278 ,  291 ,  265 ,  365 ,  257 ,  227 ,  302 ,  262 ,  211 ,  233
Tamaulipas , 6 106 ,  600 ,  595 ,  627 ,  609 ,  524 ,  471 ,  403 ,  479 ,  479 ,  439 ,  415 ,  465
Tlaxcala , 1 677 ,  146 ,  132 ,  175 ,  132 ,  125 ,  167 ,  108 ,  118 ,  148 ,  137 ,  131 ,  158
Veracruz , 9 268 ,  772 ,  823 ,  911 ,  710 ,  696 ,  871 ,  738 ,  727 ,  829 ,  744 ,  727 ,  720
Yucatán , 3 416 ,  243 ,  270 ,  375 ,  313 ,  254 ,  323 ,  257 ,  271 ,  335 ,  291 ,  221 ,  263
Zacatecas , 1 746 ,  122 ,  148 ,  159 ,  171 ,  148 ,  148 ,  151 ,  130 ,  165 ,  134 ,  121 ,  149
TOTAL GLOBAL , 173 507 , 14 514 , 14 484 , 17 317 , 14 756 , 13 640 , 17 644 , 13 141 , 13 185 , 15 330 , 13 438 , 12 751 , 13 307
