Estado ,Tasa* ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,424.69 ,4 499 ,402 ,405 ,433 ,333 ,361 ,397 ,300 ,361 ,301 ,580 ,334 ,292
Baja California ,447.17 ,13 539 ,1 116 ,984 ,947 ,883 ,1 201 ,964 ,925 ,1 493 ,1 261 ,1 670 ,1 158 ,937
Baja California Sur ,384.27 ,1 981 ,137 ,182 ,153 ,158 ,195 ,162 ,118 ,187 ,150 ,248 ,178 ,113
Campeche ,279.08 ,2 200 ,195 ,238 ,166 ,139 ,167 ,149 ,199 ,214 ,175 ,203 ,196 ,159
Coahuila ,608.84 ,15 674 ,1 430 ,1 232 ,1 216 ,1 194 ,1 498 ,1 225 ,1 148 ,1 697 ,1 459 ,1 472 ,1 120 ,983
Colima ,339.33 ,2 031 ,203 ,158 ,152 ,142 ,198 ,158 ,120 ,171 ,154 ,218 ,155 ,202
Chiapas ,236.56 ,10 587 ,929 ,927 ,902 ,843 ,1 011 ,804 ,758 ,1 019 ,790 ,1 004 ,888 ,712
Chihuahua ,375.19 ,13 097 ,1 413 ,1 155 ,1 089 ,1 159 ,1 182 ,1 022 ,908 ,1 123 ,1 123 ,1 094 ,904 ,925
Distrito Federal ,453.10 ,39 942 ,3 889 ,3 435 ,3 458 ,3 122 ,3 812 ,3 312 ,3 234 ,3 787 ,2 855 ,3 886 ,2 806 ,2 346
Durango ,556.02 ,8 674 ,1 048 ,812 ,860 ,813 ,817 ,706 ,671 ,720 ,579 ,669 ,508 ,471
Guanajuato ,381.17 ,19 445 ,1 990 ,1 584 ,1 675 ,1 551 ,2 020 ,1 502 ,1 530 ,1 743 ,1 534 ,1 837 ,1 385 ,1 094
Guerrero ,404.10 ,13 213 ,1 320 ,1 071 ,1 224 ,1 105 ,1 287 ,1 135 ,1 021 ,1 352 ,1 108 ,1 176 ,835 ,579
Hidalgo ,252.86 ,6 090 ,540 ,543 ,529 ,509 ,580 ,499 ,485 ,659 ,471 ,552 ,415 ,308
Jalisco ,511.11 ,35 106 ,3 391 ,2 831 ,3 104 ,2 226 ,3 173 ,2 406 ,2 735 ,3 819 ,2 935 ,3 716 ,2 794 ,1 976
México ,308.77 ,45 987 ,4 539 ,3 987 ,3 744 ,3 290 ,4 509 ,3 819 ,3 565 ,4 082 ,3 626 ,4 561 ,3 299 ,2 966
Michoacán ,258.13 ,10 942 ,943 ,807 ,876 ,880 ,971 ,951 ,809 ,1 087 ,944 ,1 116 ,879 ,679
Morelos ,617.52 ,10 719 ,1 011 ,866 ,889 ,730 ,1 030 ,866 ,795 ,1 115 ,844 ,1 017 ,842 ,714
Nayarit ,384.69 ,3 862 ,370 ,355 ,324 ,331 ,359 ,336 ,291 ,396 ,291 ,375 ,230 ,204
Nuevo León ,334.95 ,14 423 ,1 317 ,1 164 ,1 282 ,1 094 ,1 502 ,1 152 ,1 045 ,1 314 ,1 221 ,1 446 ,1 052 ,834
Oaxaca ,312.67 ,11 690 ,1 135 ,1 050 ,935 ,1 031 ,1 137 ,1 003 ,932 ,1 125 ,939 ,911 ,799 ,693
Puebla ,325.25 ,18 186 ,1 866 ,1 483 ,1 609 ,1 480 ,1 717 ,1 478 ,1 375 ,1 630 ,1 361 ,1 683 ,1 388 ,1 116
Querétaro ,264.19 ,4 304 ,357 ,306 ,335 ,333 ,420 ,384 ,306 ,455 ,382 ,438 ,296 ,292
Quintana Roo ,160.10 ,1 809 ,158 ,109 ,175 ,136 ,162 ,169 ,131 ,190 ,181 ,188 ,126 ,84
San Luis Potosí ,442.71 ,10 709 ,1 044 ,845 ,877 ,802 ,1 132 ,847 ,855 ,1 037 ,889 ,1 025 ,764 ,592
Sinaloa ,482.18 ,13 472 ,1 386 ,995 ,856 ,852 ,1 065 ,1 169 ,1 127 ,1 494 ,1 125 ,1 457 ,1 042 ,904
Sonora ,299.56 ,7 563 ,807 ,623 ,548 ,593 ,734 ,530 ,511 ,723 ,635 ,788 ,578 ,493
Tabasco ,330.04 ,6 908 ,692 ,502 ,567 ,488 ,597 ,513 ,557 ,782 ,598 ,755 ,561 ,296
Tamaulipas ,436.92 ,14 071 ,1 200 ,1 049 ,993 ,1 026 ,1 118 ,1 173 ,1 129 ,1 511 ,1 257 ,1 624 ,1 130 ,861
Tlaxcala ,284.90 ,3 102 ,338 ,281 ,274 ,240 ,248 ,249 ,222 ,305 ,252 ,295 ,207 ,191
Veracruz ,246.79 ,18 053 ,1 568 ,1 416 ,1 431 ,1 307 ,1 587 ,1 435 ,1 351 ,2 007 ,1 456 ,1 821 ,1 507 ,1 167
Yucatán ,470.21 ,8 609 ,860 ,740 ,649 ,628 ,896 ,644 ,630 ,887 ,600 ,873 ,624 ,578
Zacatecas ,273.14 ,3 873 ,322 ,309 ,334 ,291 ,342 ,318 ,321 ,397 ,335 ,387 ,280 ,237
TOTAL GLOBAL ,366.76 ,394 360 ,37 916 ,32 444 ,32 606 ,29 709 ,37 028 ,31 477 ,30 104 ,38 882 ,31 831 ,39 085 ,29 280 ,23 998
