"",Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes , 2 575 ,  185 ,  281 ,  294 ,  175 ,  148 ,  226 ,  176 ,  241 ,  174 ,  200 ,  268 ,  207
Baja California , 7 328 ,  526 ,  600 ,  700 ,  547 ,  534 ,  814 ,  571 ,  756 ,  549 ,  606 ,  668 ,  457
Baja California Sur ,  830 ,  66 ,  46 ,  68 ,  60 ,  64 ,  100 ,  75 ,  82 ,  76 ,  74 ,  74 ,  45
Campeche ,  933 ,  81 ,  99 ,  96 ,  61 ,  61 ,  95 ,  60 ,  121 ,  85 ,  71 ,  66 ,  37
Coahuila , 5 631 ,  356 ,  341 ,  422 ,  275 ,  426 ,  566 ,  486 ,  588 ,  566 ,  604 ,  657 ,  344
Colima ,  811 ,  56 ,  77 ,  110 ,  78 ,  67 ,  80 ,  69 ,  82 ,  59 ,  47 ,  54 ,  32
Chiapas , 5 143 ,  428 ,  388 ,  551 ,  401 ,  432 ,  500 ,  396 ,  545 ,  354 ,  381 ,  450 ,  317
Chihuahua , 7 282 ,  683 ,  579 ,  734 ,  495 ,  587 ,  658 ,  570 ,  679 ,  510 ,  601 ,  674 ,  512
Distrito Federal , 13 809 , 1 199 , 1 286 , 1 485 , 1 065 ,  991 , 1 372 , 1 072 , 1 246 , 1 038 , 1 123 , 1 192 ,  740
Durango , 3 844 ,  342 ,  407 ,  467 ,  352 ,  331 ,  407 ,  304 ,  302 ,  201 ,  239 ,  337 ,  155
Guanajuato , 6 663 ,  566 ,  597 ,  692 ,  479 ,  547 ,  621 ,  511 ,  716 ,  481 ,  477 ,  551 ,  425
Guerrero , 5 499 ,  398 ,  459 ,  622 ,  417 ,  479 ,  492 ,  484 ,  539 ,  422 ,  394 ,  482 ,  311
Hidalgo , 3 217 ,  218 ,  215 ,  349 ,  232 ,  257 ,  329 ,  300 ,  310 ,  260 ,  240 ,  335 ,  172
Jalisco , 14 513 , 1 153 , 1 152 , 1 565 , 1 109 , 1 162 , 1 515 , 1 109 , 1 398 , 1 037 , 1 080 , 1 346 ,  887
México , 23 992 , 1 774 , 1 744 , 2 344 , 1 637 , 1 527 , 2 154 , 1 762 , 2 858 , 2 162 , 2 030 , 2 435 , 1 565
Michoacán , 5 263 ,  414 ,  489 ,  551 ,  405 ,  434 ,  537 ,  390 ,  507 ,  378 ,  411 ,  472 ,  275
Morelos , 5 417 ,  373 ,  429 ,  902 ,  546 ,  440 ,  411 ,  312 ,  443 ,  358 ,  444 ,  451 ,  308
Nayarit , 1 717 ,  131 ,  150 ,  201 ,  145 ,  120 ,  142 ,  138 ,  218 ,  115 ,  128 ,  135 ,  94
Nuevo León , 7 248 ,  604 ,  613 ,  938 ,  482 ,  538 ,  666 ,  600 ,  725 ,  440 ,  585 ,  685 ,  372
Oaxaca , 4 557 ,  476 ,  470 ,  570 ,  309 ,  330 ,  472 ,  289 ,  430 ,  366 ,  296 ,  331 ,  218
Puebla , 6 279 ,  470 ,  568 ,  662 ,  436 ,  452 ,  552 ,  524 ,  596 ,  523 ,  514 ,  585 ,  397
Querétaro , 2 040 ,  181 ,  167 ,  220 ,  145 ,  151 ,  171 ,  185 ,  200 ,  156 ,  152 ,  186 ,  126
Quintana Roo , 1 321 ,  96 ,  86 ,  128 ,  124 ,  106 ,  142 ,  119 ,  135 ,  109 ,  78 ,  113 ,  85
San Luis Potosí , 4 762 ,  392 ,  438 ,  573 ,  373 ,  398 ,  491 ,  409 ,  443 ,  330 ,  336 ,  353 ,  226
Sinaloa , 6 604 ,  479 ,  503 ,  637 ,  512 ,  495 ,  660 ,  527 ,  660 ,  572 ,  558 ,  600 ,  401
Sonora , 4 084 ,  263 ,  311 ,  444 ,  376 ,  302 ,  422 ,  300 ,  395 ,  287 ,  363 ,  382 ,  239
Tabasco , 3 420 ,  248 ,  286 ,  347 ,  260 ,  270 ,  376 ,  286 ,  342 ,  264 ,  248 ,  321 ,  172
Tamaulipas , 5 737 ,  466 ,  444 ,  605 ,  375 ,  480 ,  592 ,  485 ,  600 ,  470 ,  384 ,  482 ,  354
Tlaxcala , 1 604 ,  128 ,  135 ,  172 ,  114 ,  120 ,  157 ,  104 ,  186 ,  109 ,  133 ,  151 ,  95
Veracruz , 9 997 ,  756 ,  886 , 1 046 ,  773 ,  803 , 1 053 ,  775 , 1 038 ,  690 ,  721 ,  862 ,  594
Yucatán , 2 790 ,  272 ,  280 ,  304 ,  220 ,  233 ,  307 ,  249 ,  240 ,  183 ,  163 ,  177 ,  162
Zacatecas , 1 981 ,  163 ,  188 ,  210 ,  148 ,  165 ,  199 ,  151 ,  180 ,  138 ,  159 ,  169 ,  111
TOTAL GLOBAL , 176 891 , 13 943 , 14 714 , 19 009 , 13 126 , 13 450 , 17 279 , 13 788 , 17 801 , 13 462 , 13 840 , 16 044 , 10 435
