Estado,"","","","","","","","","","","","",""
"",Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes , 3 274 ,  416 ,  303 ,  356 ,  268 ,  278 ,  259 ,  294 ,  231 ,  222 ,  261 ,  193 ,  193
Baja California , 7 226 ,  731 ,  532 ,  514 ,  540 ,  722 ,  599 ,  760 ,  659 ,  661 ,  679 ,  468 ,  361
Baja California Sur , 1 101 ,  98 ,  84 ,  82 ,  85 ,  122 ,  82 ,  104 ,  78 ,  102 ,  126 ,  83 ,  55
Campeche ,  854 ,  93 ,  58 ,  52 ,  66 ,  100 ,  71 ,  102 ,  58 ,  72 ,  76 ,  56 ,  50
Coahuila , 6 333 ,  622 ,  468 ,  643 ,  609 ,  702 ,  514 ,  680 ,  527 ,  508 ,  588 ,  261 ,  211
Colima ,  896 ,  98 ,  62 ,  59 ,  77 ,  73 ,  66 ,  75 ,  95 ,  87 ,  113 ,  55 ,  36
Chiapas , 4 657 ,  429 ,  378 ,  377 ,  379 ,  458 ,  380 ,  412 ,  387 ,  373 ,  456 ,  322 ,  306
Chihuahua , 7 503 ,  947 ,  655 ,  700 ,  674 ,  762 ,  590 ,  718 ,  539 ,  559 ,  570 ,  464 ,  325
Distrito Federal , 12 276 , 1 164 ,  916 , 1 054 ,  972 , 1 161 , 1 020 , 1 161 ,  979 ,  971 , 1 201 ,  920 ,  757
Durango , 3 097 ,  323 ,  278 ,  230 ,  237 ,  329 ,  260 ,  292 ,  277 ,  222 ,  253 ,  230 ,  166
Guanajuato , 6 156 ,  648 ,  520 ,  510 ,  523 ,  509 ,  558 ,  524 ,  442 ,  460 ,  569 ,  491 ,  402
Guerrero , 5 051 ,  484 ,  414 ,  408 ,  395 ,  535 ,  426 ,  507 ,  408 ,  406 ,  454 ,  365 ,  249
Hidalgo , 3 606 ,  318 ,  245 ,  243 ,  288 ,  390 ,  339 ,  361 ,  276 ,  283 ,  359 ,  285 ,  219
Jalisco , 13 221 , 1 543 , 1 233 , 1 187 , 1 039 , 1 362 , 1 015 , 1 253 ,  976 ,  897 , 1 155 ,  835 ,  726
México , 24 161 , 2 235 , 1 730 , 1 810 , 1 768 , 2 398 , 1 958 , 2 229 , 1 883 , 1 879 , 2 637 , 2 106 , 1 528
Michoacán , 5 020 ,  477 ,  370 ,  396 ,  392 ,  487 ,  422 ,  474 ,  451 ,  392 ,  476 ,  377 ,  306
Morelos , 4 294 ,  464 ,  400 ,  348 ,  342 ,  444 ,  335 ,  390 ,  346 ,  272 ,  356 ,  340 ,  257
Nayarit , 1 865 ,  154 ,  175 ,  190 ,  148 ,  213 ,  141 ,  191 ,  119 ,  153 ,  173 ,  100 ,  108
Nuevo León , 6 813 ,  686 ,  512 ,  530 ,  562 ,  716 ,  553 ,  679 ,  555 ,  529 ,  630 ,  476 ,  385
Oaxaca , 4 827 ,  345 ,  392 ,  371 ,  429 ,  564 ,  482 ,  448 ,  367 ,  332 ,  434 ,  373 ,  290
Puebla , 5 857 ,  618 ,  511 ,  513 ,  509 ,  619 ,  459 ,  545 ,  401 ,  396 ,  498 ,  374 ,  414
Querétaro , 2 317 ,  235 ,  192 ,  174 ,  182 ,  241 ,  214 ,  202 ,  185 ,  163 ,  212 ,  182 ,  135
Quintana Roo , 1 223 ,  145 ,  99 ,  100 ,  89 ,  131 ,  118 ,  124 ,  85 ,  80 ,  107 ,  81 ,  64
San Luis Potosí , 4 690 ,  431 ,  363 ,  390 ,  422 ,  419 ,  410 ,  452 ,  381 ,  372 ,  473 ,  335 ,  242
Sinaloa , 7 111 ,  786 ,  594 ,  600 ,  527 ,  679 ,  576 ,  665 ,  641 ,  551 ,  646 ,  491 ,  355
Sonora , 4 344 ,  462 ,  389 ,  332 ,  309 ,  426 ,  353 ,  419 ,  359 ,  385 ,  386 ,  281 ,  243
Tabasco , 3 481 ,  358 ,  332 ,  295 ,  229 ,  316 ,  289 ,  407 ,  285 ,  285 ,  327 ,  243 ,  115
Tamaulipas , 6 216 ,  574 ,  477 ,  482 ,  507 ,  635 ,  481 ,  620 ,  462 ,  490 ,  572 ,  520 ,  396
Tlaxcala , 1 701 ,  183 ,  131 ,  111 ,  112 ,  179 ,  115 ,  189 ,  132 ,  144 ,  165 ,  139 ,  101
Veracruz , 10 215 ,  915 ,  884 ,  831 ,  753 ,  996 ,  879 , 1 026 ,  753 ,  739 ,  974 ,  741 ,  724
Yucatán , 2 580 ,  168 ,  168 ,  195 ,  189 ,  228 ,  208 ,  273 ,  224 ,  230 ,  273 ,  195 ,  229
Zacatecas , 1 759 ,  171 ,  173 ,  147 ,  171 ,  195 ,  113 ,  135 ,  142 ,  122 ,  175 ,  119 ,  96
TOTAL GLOBAL , 173 725 , 17 321 , 14 038 , 14 230 , 13 792 , 17 389 , 14 285 , 16 711 , 13 703 , 13 337 , 16 374 , 12 501 , 10 044
