Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  0 ,  0 ,  0 ,  0 ,  1 ,  964 ,  544 , 1 071 ,  417 ,  601 ,  0 , 3 598
Baja California ,  2 ,  2 ,  5 ,  20 ,  37 ,  217 , 2 971 , 1 672 , 3 734 , 1 725 , 2 613 ,  67 , 13 065
Baja California Sur ,  1 ,  0 ,  0 ,  2 ,  5 ,  30 ,  707 ,  275 ,  672 ,  212 ,  328 ,  1 , 2 233
Campeche ,  1 ,  0 ,  0 ,  1 ,  6 ,  13 ,  604 ,  434 ,  647 ,  269 ,  285 ,  48 , 2 308
Coahuila ,  0 ,  2 ,  4 ,  9 ,  23 ,  204 , 3 180 , 2 357 , 4 504 , 2 488 , 3 268 ,  289 , 16 328
Colima ,  0 ,  0 ,  0 ,  0 ,  1 ,  6 ,  479 ,  310 ,  631 ,  245 ,  364 ,  0 , 2 036
Chiapas ,  0 ,  0 ,  3 ,  5 ,  20 ,  74 , 2 589 , 1 811 , 3 379 , 1 348 , 2 211 ,  90 , 11 530
Chihuahua ,  1 ,  2 ,  2 ,  6 ,  21 ,  164 , 4 836 , 2 865 , 5 612 , 2 243 , 3 880 ,  4 , 19 636
Distrito Federal ,  0 ,  0 ,  0 ,  3 ,  59 ,  277 , 6 562 , 5 003 , 10 308 , 5 143 , 7 334 ,  172 , 34 861
Durango ,  0 ,  0 ,  0 ,  0 ,  0 ,  28 , 1 418 ,  953 , 2 094 ,  915 , 1 621 ,  0 , 7 029
Guanajuato ,  0 ,  0 ,  0 ,  1 ,  30 ,  184 , 4 207 , 2 422 , 5 271 , 2 308 , 3 921 ,  0 , 18 344
Guerrero ,  0 ,  3 ,  5 ,  3 ,  27 ,  90 , 2 796 , 1 815 , 3 745 , 1 597 , 2 804 ,  85 , 12 970
Hidalgo ,  0 ,  1 ,  2 ,  6 ,  26 ,  56 , 1 646 , 1 197 , 2 339 , 1 040 , 1 576 ,  6 , 7 895
Jalisco ,  9 ,  12 ,  21 ,  35 ,  102 ,  217 , 6 373 , 3 919 , 8 742 , 4 160 , 7 552 ,  36 , 31 178
México ,  0 ,  0 ,  0 ,  0 ,  0 ,  710 , 11 448 , 7 731 , 17 136 , 8 049 , 12 561 ,  150 , 57 785
Michoacán ,  0 ,  2 ,  0 ,  4 ,  17 ,  103 , 2 498 , 1 853 , 3 864 , 2 202 , 3 636 ,  41 , 14 220
Morelos ,  0 ,  2 ,  5 ,  18 ,  14 ,  45 , 2 407 , 1 515 , 3 305 , 1 796 , 2 843 ,  17 , 11 967
Nayarit ,  0 ,  0 ,  2 ,  4 ,  3 ,  38 ,  714 ,  424 , 1 068 ,  475 ,  963 ,  2 , 3 693
Nuevo León ,  0 ,  1 ,  7 ,  15 ,  37 ,  198 , 4 574 , 2 754 , 5 699 , 2 283 , 3 273 ,  53 , 18 894
Oaxaca ,  1 ,  0 ,  2 ,  4 ,  31 ,  93 , 2 968 , 1 887 , 3 647 , 1 472 , 2 408 ,  11 , 12 524
Puebla ,  0 ,  0 ,  0 ,  5 ,  30 ,  67 , 3 004 , 2 181 , 4 989 , 2 881 , 4 766 ,  28 , 17 951
Querétaro ,  0 ,  0 ,  1 ,  0 ,  0 ,  11 , 1 397 ,  683 , 1 511 ,  556 ,  944 ,  0 , 5 103
Quintana Roo ,  1 ,  0 ,  2 ,  0 ,  2 ,  32 , 1 070 ,  572 , 1 067 ,  349 ,  550 ,  1 , 3 646
San Luis Potosí ,  0 ,  0 ,  2 ,  0 ,  3 ,  153 , 2 763 , 1 597 , 3 229 , 1 406 , 2 409 ,  0 , 11 562
Sinaloa ,  0 ,  0 ,  0 ,  0 ,  31 ,  116 , 2 641 , 1 901 , 4 561 , 2 064 , 3 511 ,  64 , 14 889
Sonora ,  0 ,  0 ,  0 ,  0 ,  0 ,  76 , 1 828 , 1 020 , 2 634 , 1 076 , 1 892 ,  162 , 8 688
Tabasco ,  0 ,  4 ,  4 ,  6 ,  25 ,  102 , 2 429 , 1 393 , 2 567 ,  886 , 1 467 ,  7 , 8 890
Tamaulipas ,  0 ,  0 ,  2 ,  5 ,  31 ,  95 , 2 974 , 1 840 , 3 886 , 1 786 , 2 663 ,  4 , 13 286
Tlaxcala ,  0 ,  0 ,  0 ,  4 ,  2 ,  15 ,  798 ,  506 , 1 173 ,  534 ,  923 ,  2 , 3 957
Veracruz ,  5 ,  6 ,  8 ,  20 ,  34 ,  156 , 5 012 , 2 935 , 6 619 , 2 842 , 4 729 ,  182 , 22 548
Yucatán ,  0 ,  0 ,  0 ,  0 ,  12 ,  44 , 1 952 , 1 190 , 2 805 , 1 473 , 2 078 ,  6 , 9 560
Zacatecas ,  0 ,  0 ,  0 ,  0 ,  1 ,  45 , 1 061 ,  617 , 1 361 ,  551 ,  989 ,  3 , 4 628
TOTAL GLOBAL ,  21 ,  37 ,  77 ,  176 ,  630 , 3 660 , 90 870 , 58 176 , 123 870 , 56 791 , 90 963 , 1 531 , 426 802
