Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,0 ,0 ,0 ,0 ,0 ,36 ,547 ,327 ,641 ,286 ,407 ,4 ,2248
Baja California ,0 ,0 ,0 ,2 ,23 ,99 ,1614 ,851 ,2047 ,920 ,1427 ,7 ,6990
Baja California Sur ,0 ,0 ,0 ,0 ,3 ,16 ,319 ,174 ,340 ,130 ,289 ,0 ,1271
Campeche ,0 ,0 ,1 ,2 ,2 ,30 ,479 ,227 ,413 ,169 ,250 ,3 ,1576
Coahuila ,0 ,11 ,5 ,14 ,40 ,105 ,2148 ,1224 ,2800 ,1249 ,1923 ,9 ,9528
Colima ,0 ,0 ,0 ,0 ,1 ,6 ,208 ,139 ,253 ,108 ,152 ,3 ,870
Chiapas ,5 ,6 ,8 ,6 ,20 ,57 ,1671 ,1157 ,2278 ,991 ,1534 ,20 ,7753
Chihuahua ,1 ,4 ,8 ,11 ,36 ,130 ,1694 ,1037 ,2584 ,1091 ,1817 ,7 ,8420
Distrito Federal ,0 ,0 ,0 ,2 ,13 ,166 ,4631 ,3737 ,7125 ,3875 ,6444 ,123 ,26116
Durango ,0 ,0 ,0 ,0 ,0 ,39 ,1281 ,860 ,2059 ,989 ,1813 ,8 ,7049
Guanajuato ,0 ,0 ,0 ,2 ,13 ,171 ,2307 ,1342 ,3021 ,1333 ,2386 ,18 ,10593
Guerrero ,1 ,0 ,3 ,6 ,16 ,60 ,1969 ,1356 ,2557 ,1210 ,2055 ,7 ,9240
Hidalgo ,0 ,0 ,0 ,2 ,13 ,25 ,830 ,460 ,994 ,376 ,775 ,0 ,3475
Jalisco ,1 ,0 ,5 ,6 ,32 ,98 ,2992 ,2029 ,5122 ,2543 ,4362 ,177 ,17367
México ,11 ,10 ,13 ,18 ,54 ,231 ,4915 ,3652 ,6467 ,3309 ,4733 ,139 ,23552
Michoacán ,0 ,0 ,1 ,1 ,9 ,51 ,1300 ,865 ,1959 ,931 ,1609 ,7 ,6733
Morelos ,0 ,0 ,0 ,0 ,2 ,11 ,974 ,913 ,1733 ,1003 ,1130 ,27 ,5793
Nayarit ,0 ,0 ,0 ,4 ,11 ,24 ,400 ,340 ,698 ,335 ,621 ,3 ,2436
Nuevo León ,10 ,15 ,11 ,17 ,35 ,124 ,1841 ,1336 ,2496 ,1292 ,1943 ,73 ,9193
Oaxaca ,0 ,0 ,0 ,3 ,6 ,103 ,1329 ,959 ,1471 ,625 ,863 ,3 ,5362
Puebla ,5 ,4 ,3 ,11 ,38 ,130 ,1746 ,1395 ,2673 ,1357 ,2518 ,113 ,9993
Querétaro ,0 ,0 ,0 ,0 ,0 ,34 ,873 ,470 ,912 ,336 ,524 ,1 ,3150
Quintana Roo ,0 ,0 ,0 ,0 ,0 ,8 ,331 ,218 ,289 ,122 ,148 ,0 ,1116
San Luis Potosi ,0 ,1 ,1 ,5 ,8 ,69 ,1503 ,815 ,1934 ,825 ,1359 ,7 ,6527
Sinaloa ,0 ,3 ,1 ,10 ,2 ,38 ,911 ,794 ,1842 ,1068 ,1594 ,15 ,6278
Sonora ,2 ,3 ,1 ,8 ,11 ,61 ,1219 ,921 ,1725 ,705 ,1124 ,1 ,5781
Tabasco ,2 ,2 ,4 ,3 ,16 ,56 ,1211 ,678 ,1291 ,502 ,774 ,26 ,4565
Tamaulipas ,0 ,0 ,2 ,1 ,2 ,37 ,1975 ,1096 ,2509 ,1072 ,1666 ,8 ,8368
Tlaxcala ,0 ,0 ,0 ,0 ,2 ,19 ,403 ,235 ,476 ,215 ,401 ,4 ,1755
Veracruz ,0 ,0 ,0 ,1 ,8 ,68 ,2863 ,1749 ,3427 ,1456 ,2315 ,25 ,11912
Yucatán ,0 ,1 ,0 ,1 ,4 ,8 ,1043 ,611 ,1624 ,746 ,1265 ,9 ,5312
Zacatecas ,0 ,0 ,0 ,0 ,0 ,19 ,611 ,376 ,879 ,353 ,591 ,10 ,2839
TOTAL GLOBAL ,38 ,60 ,67 ,136 ,420 ,2129 ,48138 ,32343 ,66639 ,31522 ,50812 ,857 ,233161
