Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  0 ,  1 ,  1 ,  2 ,  9 ,  411 ,  254 ,  437 ,  240 ,  338 ,  5 , 1 698
Baja California ,  0 ,  1 ,  7 ,  17 ,  40 ,  84 , 1 286 ,  709 , 1 478 ,  736 , 1 057 ,  19 , 5 434
Baja California Sur ,  0 ,  0 ,  0 ,  0 ,  2 ,  13 ,  243 ,  120 ,  230 ,  76 ,  163 ,  0 ,  847
Campeche ,  0 ,  0 ,  1 ,  2 ,  0 ,  8 ,  206 ,  133 ,  191 ,  109 ,  127 ,  0 ,  777
Coahuila ,  0 ,  0 ,  1 ,  1 ,  6 ,  46 , 1 221 ,  895 , 1 789 ,  991 , 1 318 ,  8 , 6 276
Colima ,  0 ,  0 ,  0 ,  0 ,  0 ,  6 ,  184 ,  106 ,  217 ,  100 ,  214 ,  0 ,  827
Chiapas ,  2 ,  4 ,  2 ,  3 ,  12 ,  24 ,  803 ,  551 , 1 072 ,  490 ,  819 ,  14 , 3 796
Chihuahua ,  0 ,  2 ,  2 ,  3 ,  6 ,  40 , 1 098 ,  592 , 1 280 ,  600 , 1 203 ,  80 , 4 906
Distrito Federal ,  0 ,  0 ,  1 ,  0 ,  16 ,  144 , 3 060 , 2 435 , 4 557 , 2 352 , 3 506 ,  25 , 16 096
Durango ,  0 ,  0 ,  0 ,  0 ,  0 ,  33 ,  502 ,  468 ,  994 ,  545 ,  913 ,  3 , 3 458
Guanajuato ,  0 ,  0 ,  0 ,  4 ,  6 ,  65 , 1 641 ,  902 , 1 954 ,  944 , 1 785 ,  3 , 7 304
Guerrero ,  4 ,  0 ,  4 ,  0 ,  4 ,  38 , 1 146 ,  708 , 1 400 ,  582 , 1 129 ,  13 , 5 028
Hidalgo ,  0 ,  0 ,  0 ,  1 ,  4 ,  14 ,  475 ,  315 ,  607 ,  336 ,  562 ,  0 , 2 314
Jalisco ,  12 ,  23 ,  20 ,  35 ,  47 ,  100 , 2 576 , 1 493 , 3 787 , 1 983 , 3 936 ,  56 , 14 068
México ,  4 ,  2 ,  2 ,  7 ,  30 ,  91 , 3 618 , 2 571 , 4 906 , 2 629 , 3 834 ,  40 , 17 734
Michoacán ,  0 ,  0 ,  0 ,  2 ,  3 ,  12 ,  750 ,  490 , 1 116 ,  650 , 1 210 ,  3 , 4 236
Morelos ,  0 ,  0 ,  0 ,  0 ,  0 ,  16 ,  731 ,  607 , 1 246 ,  719 , 1 099 ,  21 , 4 439
Nayarit ,  0 ,  0 ,  0 ,  0 ,  2 ,  12 ,  263 ,  196 ,  407 ,  223 ,  438 ,  1 , 1 542
Nuevo León ,  1 ,  2 ,  2 ,  5 ,  19 ,  62 , 1 496 ,  813 , 1 608 ,  779 , 1 094 ,  15 , 5 896
Oaxaca ,  0 ,  0 ,  0 ,  1 ,  4 ,  59 ,  952 ,  676 , 1 170 ,  572 ,  845 ,  6 , 4 285
Puebla ,  1 ,  1 ,  3 ,  5 ,  21 ,  32 , 1 212 ,  722 , 1 845 ,  962 , 2 025 ,  6 , 6 835
Querétaro ,  0 ,  0 ,  0 ,  0 ,  0 ,  10 ,  467 ,  232 ,  454 ,  188 ,  326 ,  0 , 1 677
Quintana Roo ,  0 ,  0 ,  0 ,  1 ,  0 ,  12 ,  276 ,  102 ,  204 ,  84 ,  91 ,  1 ,  771
San Luis Potosí ,  0 ,  0 ,  0 ,  1 ,  5 ,  18 ,  857 ,  489 , 1 100 ,  528 , 1 018 ,  1 , 4 017
Sinaloa ,  0 ,  0 ,  0 ,  7 ,  8 ,  31 ,  990 ,  674 , 1 625 ,  813 , 1 390 ,  13 , 5 551
Sonora ,  0 ,  0 ,  0 ,  0 ,  4 ,  11 ,  535 ,  350 ,  840 ,  350 ,  754 ,  1 , 2 845
Tabasco ,  0 ,  0 ,  1 ,  1 ,  9 ,  30 ,  728 ,  411 ,  776 ,  266 ,  411 ,  7 , 2 640
Tamaulipas ,  7 ,  9 ,  5 ,  6 ,  6 ,  29 , 1 286 ,  694 , 1 485 ,  657 , 1 120 ,  4 , 5 308
Tlaxcala ,  0 ,  0 ,  0 ,  0 ,  0 ,  5 ,  259 ,  185 ,  362 ,  140 ,  292 ,  8 , 1 251
Veracruz ,  0 ,  0 ,  2 ,  6 ,  8 ,  40 , 1 410 ,  838 , 1 855 ,  840 , 1 287 ,  2 , 6 288
Yucatán ,  0 ,  0 ,  1 ,  9 ,  23 ,  93 ,  602 ,  352 ,  897 ,  453 ,  786 ,  10 , 3 226
Zacatecas ,  0 ,  0 ,  0 ,  0 ,  0 ,  13 ,  315 ,  156 ,  397 ,  199 ,  385 ,  1 , 1 466
TOTAL GLOBAL ,  31 ,  44 ,  55 ,  118 ,  287 , 1 200 , 31 599 , 20 239 , 42 286 , 21 136 , 35 475 ,  366 , 152 836
