Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,0 ,0 ,0 ,0 ,0 ,52 ,941 ,571 ,1028 ,478 ,662 ,7 ,3739
Baja California ,0 ,0 ,1 ,3 ,45 ,130 ,2731 ,1381 ,3249 ,1664 ,2563 ,27 ,11794
Baja California Sur ,0 ,0 ,0 ,0 ,7 ,26 ,541 ,296 ,599 ,238 ,500 ,0 ,2207
Campeche ,0 ,0 ,1 ,2 ,4 ,39 ,679 ,329 ,625 ,258 ,412 ,8 ,2357
Coahuila ,2 ,14 ,15 ,25 ,55 ,167 ,3458 ,2008 ,4601 ,2053 ,3263 ,14 ,15675
Colima ,0 ,0 ,0 ,0 ,2 ,9 ,339 ,228 ,420 ,195 ,251 ,5 ,1449
Chiapas ,6 ,11 ,18 ,11 ,33 ,92 ,2578 ,1710 ,3469 ,1559 ,2403 ,32 ,11922
Chihuahua ,1 ,5 ,11 ,18 ,53 ,193 ,2814 ,1562 ,3921 ,1796 ,3078 ,18 ,13470
Distrito Federal ,0 ,0 ,0 ,6 ,28 ,249 ,7636 ,6198 ,11801 ,6423 ,10813 ,183 ,43337
Durango ,0 ,0 ,0 ,0 ,0 ,62 ,2070 ,1375 ,3184 ,1612 ,3048 ,16 ,11367
Guanajuato ,0 ,0 ,1 ,2 ,38 ,286 ,3705 ,2149 ,4732 ,2205 ,3948 ,26 ,17092
Guerrero ,1 ,0 ,5 ,9 ,25 ,91 ,3209 ,2161 ,4197 ,1953 ,3373 ,18 ,15042
Hidalgo ,1 ,0 ,0 ,3 ,14 ,44 ,1341 ,831 ,1557 ,639 ,1198 ,5 ,5633
Jalisco ,1 ,0 ,8 ,11 ,45 ,171 ,5046 ,3431 ,8326 ,4163 ,7673 ,288 ,29163
México ,22 ,17 ,22 ,38 ,89 ,343 ,8260 ,6041 ,10500 ,5579 ,7788 ,173 ,38872
Michoacán ,0 ,0 ,1 ,2 ,17 ,86 ,2103 ,1376 ,3063 ,1519 ,2736 ,16 ,10919
Morelos ,0 ,0 ,0 ,0 ,2 ,19 ,1557 ,1590 ,2914 ,1804 ,1959 ,62 ,9907
Nayarit ,0 ,0 ,0 ,5 ,15 ,44 ,646 ,536 ,1135 ,576 ,1067 ,7 ,4031
Nuevo León ,12 ,20 ,17 ,27 ,61 ,197 ,3063 ,2093 ,4107 ,2167 ,3181 ,115 ,15060
Oaxaca ,0 ,1 ,0 ,4 ,10 ,208 ,2118 ,1501 ,2234 ,1052 ,1445 ,6 ,8579
Puebla ,5 ,4 ,15 ,15 ,73 ,213 ,2746 ,2305 ,4225 ,2184 ,4144 ,131 ,16060
Querétaro ,0 ,0 ,0 ,0 ,0 ,46 ,1392 ,701 ,1471 ,534 ,832 ,4 ,4980
Quintana Roo ,0 ,0 ,0 ,0 ,2 ,10 ,557 ,334 ,456 ,180 ,279 ,3 ,1821
San Luis Potosi ,0 ,1 ,2 ,7 ,13 ,98 ,2388 ,1254 ,3008 ,1326 ,2277 ,13 ,10387
Sinaloa ,1 ,5 ,3 ,12 ,7 ,62 ,1532 ,1288 ,2959 ,1804 ,2654 ,25 ,10352
Sonora ,4 ,4 ,7 ,14 ,20 ,90 ,1920 ,1342 ,2691 ,1241 ,1926 ,11 ,9270
Tabasco ,2 ,5 ,6 ,6 ,25 ,85 ,2002 ,1179 ,2086 ,856 ,1238 ,46 ,7536
Tamaulipas ,0 ,1 ,2 ,1 ,6 ,66 ,3441 ,1800 ,4028 ,1762 ,2869 ,24 ,14000
Tlaxcala ,0 ,0 ,0 ,0 ,3 ,25 ,621 ,389 ,799 ,357 ,690 ,6 ,2890
Veracruz ,0 ,1 ,0 ,2 ,16 ,100 ,4329 ,2635 ,5281 ,2346 ,3814 ,32 ,18556
Yucatán ,0 ,1 ,1 ,1 ,7 ,17 ,1646 ,942 ,2484 ,1134 ,1985 ,9 ,8227
Zacatecas ,0 ,0 ,0 ,0 ,0 ,33 ,1043 ,571 ,1373 ,598 ,1005 ,15 ,4638
TOTAL GLOBAL ,58 ,90 ,136 ,224 ,715 ,3353 ,78452 ,52107 ,106523 ,52255 ,85074 ,1345 ,380332
