Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,0 ,0 ,0 ,0 ,1 ,49 ,1475 ,829 ,1571 ,714 ,1093 ,59 ,5791
Baja California ,0 ,3 ,10 ,16 ,54 ,158 ,2992 ,1396 ,3719 ,1726 ,2662 ,25 ,12761
Baja California Sur ,0 ,0 ,0 ,5 ,9 ,25 ,536 ,296 ,619 ,282 ,420 ,2 ,2194
Campeche ,0 ,0 ,1 ,0 ,4 ,38 ,622 ,337 ,739 ,303 ,361 ,0 ,2405
Coahuila ,8 ,7 ,5 ,6 ,18 ,122 ,3474 ,2173 ,5032 ,2326 ,3546 ,17 ,16734
Colima ,0 ,0 ,0 ,0 ,0 ,10 ,429 ,237 ,518 ,231 ,320 ,2 ,1747
Chiapas ,5 ,11 ,13 ,7 ,43 ,94 ,2555 ,1830 ,3576 ,1738 ,2470 ,21 ,12363
Chihuahua ,0 ,1 ,3 ,3 ,24 ,154 ,2932 ,1603 ,4294 ,2028 ,3568 ,11 ,14621
Distrito Federal ,0 ,1 ,2 ,2 ,49 ,221 ,7249 ,5467 ,11205 ,5761 ,9941 ,65 ,39963
Durango ,0 ,0 ,0 ,0 ,0 ,42 ,1912 ,1307 ,2981 ,1553 ,2430 ,21 ,10246
Guanajuato ,0 ,0 ,0 ,4 ,15 ,146 ,3976 ,2246 ,5504 ,2687 ,4478 ,9 ,19065
Guerrero ,0 ,1 ,1 ,1 ,9 ,83 ,3236 ,2124 ,4201 ,1895 ,3085 ,77 ,14713
Hidalgo ,0 ,0 ,0 ,0 ,4 ,30 ,1264 ,844 ,1521 ,781 ,1258 ,2 ,5704
Jalisco ,22 ,10 ,20 ,35 ,78 ,199 ,6412 ,3996 ,10612 ,5504 ,10047 ,307 ,37242
México ,21 ,11 ,11 ,27 ,64 ,340 ,9078 ,6511 ,12283 ,6899 ,9273 ,123 ,44641
Michoacán ,0 ,1 ,0 ,8 ,13 ,84 ,1812 ,1168 ,2494 ,1359 ,2336 ,10 ,9285
Morelos ,0 ,0 ,1 ,1 ,8 ,35 ,1760 ,1578 ,2931 ,1569 ,2331 ,184 ,10398
Nayarit ,0 ,0 ,0 ,0 ,10 ,13 ,679 ,533 ,1264 ,642 ,1284 ,8 ,4433
Nuevo León ,11 ,16 ,9 ,19 ,36 ,191 ,3177 ,1881 ,3799 ,1884 ,2945 ,95 ,14063
Oaxaca ,0 ,0 ,2 ,3 ,8 ,137 ,2241 ,1455 ,2524 ,1275 ,1573 ,24 ,9242
Puebla ,56 ,5 ,4 ,11 ,37 ,149 ,3311 ,2571 ,5343 ,2929 ,5203 ,80 ,19699
Querétaro ,0 ,0 ,0 ,1 ,2 ,31 ,1460 ,797 ,1541 ,623 ,1028 ,4 ,5487
Quintana Roo ,0 ,0 ,0 ,0 ,2 ,27 ,539 ,273 ,378 ,160 ,149 ,2 ,1530
San Luis Potosí ,0 ,0 ,0 ,0 ,5 ,80 ,2509 ,1504 ,3037 ,1461 ,2378 ,33 ,11007
Sinaloa ,0 ,0 ,0 ,0 ,1 ,78 ,1821 ,1724 ,3760 ,1972 ,3178 ,20 ,12554
Sonora ,0 ,0 ,0 ,3 ,23 ,83 ,2363 ,1466 ,3155 ,1449 ,2169 ,24 ,10735
Tabasco ,0 ,1 ,5 ,11 ,14 ,115 ,2043 ,1097 ,1981 ,790 ,1148 ,7 ,7212
Tamaulipas ,37 ,83 ,53 ,36 ,27 ,92 ,3389 ,1821 ,4112 ,1855 ,3046 ,19 ,14570
Tlaxcala ,0 ,0 ,0 ,1 ,6 ,19 ,705 ,418 ,836 ,365 ,599 ,3 ,2952
Veracruz ,4 ,7 ,9 ,13 ,22 ,119 ,4227 ,2509 ,5159 ,2246 ,3155 ,26 ,17496
Yucatán ,0 ,0 ,0 ,3 ,12 ,30 ,1804 ,1101 ,2756 ,1227 ,2071 ,7 ,9011
Zacatecas ,0 ,0 ,0 ,0 ,0 ,57 ,1132 ,584 ,1313 ,576 ,1033 ,3 ,4698
TOTAL GLOBAL ,164 ,158 ,149 ,216 ,598 ,3051 ,83114 ,53676 ,114758 ,56810 ,90578 ,1290 ,404562
