Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  0 ,  0 ,  0 ,  2 ,  21 ,  590 ,  379 ,  655 ,  284 ,  298 ,  0 , 2 229
Baja California ,  0 ,  2 ,  2 ,  11 ,  24 ,  104 , 1 686 ,  948 , 2 204 ,  881 , 1 151 ,  18 , 7 031
Baja California Sur ,  0 ,  0 ,  0 ,  1 ,  2 ,  20 ,  436 ,  193 ,  406 ,  148 ,  169 ,  0 , 1 375
Campeche ,  3 ,  5 ,  2 ,  1 ,  7 ,  19 ,  394 ,  171 ,  291 ,  139 ,  137 ,  0 , 1 169
Coahuila ,  0 ,  0 ,  7 ,  14 ,  19 ,  56 , 1 580 , 1 015 , 2 293 , 1 148 , 1 551 ,  12 , 7 695
Colima ,  0 ,  0 ,  0 ,  0 ,  1 ,  0 ,  264 ,  174 ,  393 ,  177 ,  228 ,  0 , 1 237
Chiapas ,  0 ,  1 ,  1 ,  6 ,  14 ,  48 , 1 529 , 1 194 , 2 121 ,  783 , 1 378 ,  17 , 7 092
Chihuahua ,  0 ,  1 ,  1 ,  1 ,  13 ,  74 , 2 334 , 1 232 , 3 112 , 1 213 , 2 069 ,  2 , 10 052
Distrito Federal ,  0 ,  0 ,  0 ,  0 ,  28 ,  194 , 3 855 , 3 036 , 6 094 , 2 782 , 4 293 ,  3 , 20 285
Durango ,  0 ,  0 ,  0 ,  0 ,  0 ,  32 ,  848 ,  543 , 1 222 ,  453 ,  769 ,  0 , 3 867
Guanajuato ,  0 ,  0 ,  0 ,  3 ,  18 ,  99 , 2 158 , 1 346 , 2 586 , 1 222 , 1 962 ,  44 , 9 438
Guerrero ,  0 ,  1 ,  0 ,  4 ,  13 ,  56 , 1 766 , 1 156 , 2 319 ,  958 , 1 756 ,  52 , 8 081
Hidalgo ,  0 ,  1 ,  1 ,  0 ,  16 ,  34 , 1 001 ,  682 , 1 216 ,  527 ,  867 ,  0 , 4 345
Jalisco ,  12 ,  7 ,  15 ,  39 ,  80 ,  190 , 3 681 , 2 416 , 5 433 , 2 612 , 4 880 ,  63 , 19 428
México ,  6 ,  4 ,  18 ,  19 ,  90 ,  265 , 5 893 , 4 083 , 8 507 , 4 100 , 6 452 ,  44 , 29 481
Michoacán ,  0 ,  0 ,  1 ,  0 ,  5 ,  53 , 1 261 ,  999 , 2 063 , 1 078 , 1 840 ,  26 , 7 326
Morelos ,  0 ,  1 ,  5 ,  5 ,  6 ,  55 , 1 164 ,  877 , 1 941 ,  897 , 1 471 ,  16 , 6 438
Nayarit ,  0 ,  0 ,  0 ,  0 ,  3 ,  20 ,  342 ,  240 ,  566 ,  281 ,  566 ,  1 , 2 019
Nuevo León ,  0 ,  1 ,  1 ,  17 ,  39 ,  106 , 2 131 , 1 254 , 2 546 , 1 098 , 1 674 ,  30 , 8 897
Oaxaca ,  0 ,  2 ,  0 ,  4 ,  18 ,  74 , 1 753 , 1 151 , 2 104 ,  835 , 1 444 ,  10 , 7 395
Puebla ,  0 ,  1 ,  0 ,  6 ,  20 ,  60 , 1 928 , 1 323 , 3 008 , 1 732 , 2 933 ,  8 , 11 019
Querétaro ,  0 ,  0 ,  0 ,  0 ,  0 ,  10 ,  683 ,  373 ,  773 ,  252 ,  422 ,  0 , 2 513
Quintana Roo ,  0 ,  0 ,  0 ,  0 ,  1 ,  18 ,  516 ,  265 ,  496 ,  145 ,  219 ,  1 , 1 661
San Luis Potosí ,  0 ,  0 ,  0 ,  0 ,  3 ,  48 , 1 571 ,  886 , 1 739 ,  677 , 1 234 ,  0 , 6 158
Sinaloa ,  2 ,  1 ,  2 ,  5 ,  16 ,  87 , 1 556 , 1 257 , 2 849 , 1 244 , 2 087 ,  10 , 9 116
Sonora ,  2 ,  0 ,  2 ,  3 ,  10 ,  47 , 1 153 ,  707 , 1 643 ,  667 , 1 117 ,  9 , 5 360
Tabasco ,  0 ,  0 ,  2 ,  3 ,  13 ,  40 , 1 333 ,  794 , 1 284 ,  448 ,  786 ,  7 , 4 710
Tamaulipas ,  4 ,  0 ,  1 ,  3 ,  7 ,  39 , 1 755 , 1 108 , 2 113 ,  851 , 1 347 ,  8 , 7 236
Tlaxcala ,  0 ,  0 ,  0 ,  0 ,  2 ,  13 ,  439 ,  318 ,  742 ,  285 ,  533 ,  4 , 2 336
Veracruz ,  0 ,  0 ,  3 ,  2 ,  28 ,  126 , 3 224 , 1 952 , 4 249 , 1 598 , 2 766 ,  7 , 13 955
Yucatán ,  0 ,  0 ,  0 ,  1 ,  3 ,  27 , 1 163 ,  698 , 1 835 ,  814 , 1 378 ,  1 , 5 920
Zacatecas ,  0 ,  0 ,  0 ,  0 ,  0 ,  25 ,  586 ,  339 ,  746 ,  307 ,  511 ,  4 , 2 518
T OTAL GLOBAL ,  29 ,  28 ,  64 ,  148 ,  501 , 2 060 , 50 573 , 33 109 , 69 549 , 30 636 , 50 288 ,  397 , 237 382
