Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  1 ,  0 ,  1 ,  0 ,  6 ,  52 ,  953 ,  606 ,  949 ,  437 ,  523 ,  6 , 3 534
Baja California ,  1 ,  4 ,  8 ,  14 ,  44 ,  126 , 2 872 , 1 625 , 3 240 , 1 403 , 2 031 ,  73 , 11 441
Baja California Sur ,  0 ,  0 ,  2 ,  2 ,  12 ,  32 ,  721 ,  338 ,  680 ,  254 ,  386 ,  3 , 2 430
Campeche ,  0 ,  0 ,  1 ,  0 ,  6 ,  25 ,  727 ,  387 ,  709 ,  317 ,  385 ,  2 , 2 559
Coahuila ,  2 ,  7 ,  9 ,  8 ,  21 ,  127 , 2 891 , 1 874 , 4 282 , 1 996 , 2 715 ,  15 , 13 947
Colima ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  523 ,  328 ,  730 ,  274 ,  494 ,  0 , 2 349
Chiapas ,  7 ,  11 ,  9 ,  17 ,  41 ,  97 , 2 660 , 1 903 , 3 944 , 1 496 , 2 582 ,  26 , 12 793
Chihuahua ,  1 ,  3 ,  8 ,  2 ,  19 ,  115 , 3 624 , 1 928 , 4 593 , 1 891 , 3 176 ,  17 , 15 377
Distrito Federal ,  0 ,  0 ,  0 ,  1 ,  33 ,  322 , 7 378 , 5 989 , 11 614 , 5 590 , 8 309 ,  18 , 39 254
Durango ,  0 ,  0 ,  0 ,  0 ,  0 ,  56 , 1 564 ,  963 , 2 068 ,  999 , 1 537 ,  0 , 7 187
Guanajuato ,  0 ,  0 ,  0 ,  3 ,  13 ,  123 , 3 494 , 1 867 , 4 159 , 1 877 , 3 280 ,  4 , 14 820
Guerrero ,  1 ,  3 ,  2 ,  3 ,  11 ,  95 , 3 340 , 2 007 , 4 028 , 1 689 , 2 888 ,  12 , 14 079
Hidalgo ,  0 ,  0 ,  0 ,  1 ,  15 ,  33 , 1 328 , 1 057 , 1 806 ,  902 , 1 251 ,  4 , 6 397
Jalisco ,  17 ,  11 ,  21 ,  46 ,  120 ,  306 , 6 135 , 4 087 , 9 629 , 4 802 , 8 584 ,  93 , 33 851
México ,  52 ,  13 ,  9 ,  24 ,  117 ,  382 , 10 049 , 7 154 , 14 268 , 7 114 , 10 455 ,  95 , 49 732
Michoacán ,  0 ,  0 ,  3 ,  11 ,  25 ,  101 , 2 109 , 1 567 , 3 406 , 1 865 , 3 520 ,  52 , 12 659
Morelos ,  0 ,  1 ,  0 ,  0 ,  10 ,  47 , 2 557 , 1 758 , 3 151 , 1 543 , 2 353 ,  41 , 11 461
Nayarit ,  0 ,  0 ,  0 ,  0 ,  8 ,  42 ,  567 ,  465 ,  942 ,  578 , 1 033 ,  10 , 3 645
Nuevo León ,  1 ,  6 ,  7 ,  20 ,  55 ,  149 , 3 647 , 2 213 , 4 744 , 2 068 , 3 286 ,  79 , 16 275
Oaxaca ,  2 ,  1 ,  0 ,  3 ,  16 ,  110 , 2 621 , 1 942 , 3 380 , 1 530 , 2 298 ,  10 , 11 913
Puebla ,  0 ,  3 ,  2 ,  11 ,  32 ,  101 , 3 030 , 2 040 , 4 857 , 2 187 , 4 369 ,  21 , 16 653
Querétaro ,  0 ,  0 ,  0 ,  0 ,  1 ,  28 , 1 175 ,  665 , 1 167 ,  479 ,  770 ,  0 , 4 285
Quintana Roo ,  0 ,  4 ,  0 ,  0 ,  4 ,  28 ,  841 ,  352 ,  703 ,  216 ,  277 ,  3 , 2 428
San Luis Potosí ,  0 ,  0 ,  0 ,  1 ,  11 ,  39 , 2 511 , 1 439 , 2 853 , 1 210 , 2 069 ,  0 , 10 133
Sinaloa ,  0 ,  4 ,  0 ,  0 ,  17 ,  92 , 2 571 , 1 880 , 4 644 , 2 004 , 3 800 ,  54 , 15 066
Sonora ,  0 ,  5 ,  1 ,  0 ,  14 ,  73 , 1 690 , 1 091 , 2 444 ,  996 , 1 950 ,  2 , 8 266
Tabasco ,  0 ,  0 ,  2 ,  12 ,  21 ,  108 , 2 413 , 1 511 , 2 342 ,  827 , 1 233 ,  6 , 8 475
Tamaulipas ,  0 ,  1 ,  8 ,  12 ,  16 ,  79 , 3 336 , 2 285 , 4 270 , 1 909 , 2 868 ,  14 , 14 798
Tlaxcala ,  0 ,  0 ,  1 ,  3 ,  17 ,  18 ,  733 ,  446 , 1 026 ,  429 ,  800 ,  2 , 3 475
Veracruz ,  0 ,  1 ,  2 ,  12 ,  38 ,  167 , 5 066 , 2 981 , 6 655 , 2 766 , 4 438 ,  9 , 22 135
Yucatán ,  1 ,  1 ,  3 ,  7 ,  19 ,  51 , 1 926 , 1 088 , 2 823 , 1 174 , 2 152 ,  12 , 9 257
Zacatecas ,  0 ,  0 ,  0 ,  0 ,  0 ,  27 , 1 049 ,  550 , 1 100 ,  490 ,  873 ,  7 , 4 096
TOTAL GLOBAL ,  86 ,  79 ,  99 ,  213 ,  762 , 3 151 , 86 101 , 56 386 , 117 206 , 53 312 , 86 685 ,  690 , 404 770
