Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  0 ,  0 ,  0 ,  0 ,  6 ,  455 ,  203 ,  433 ,  200 ,  321 ,  0 , 1 618
Baja California ,  3 ,  2 ,  11 ,  21 ,  69 ,  114 , 1 173 ,  689 , 1 419 ,  781 , 1 016 ,  15 , 5 313
Baja California Sur ,  0 ,  0 ,  1 ,  0 ,  3 ,  11 ,  236 ,  131 ,  231 ,  95 ,  149 ,  0 ,  857
Campeche ,  3 ,  2 ,  1 ,  1 ,  7 ,  7 ,  338 ,  236 ,  372 ,  161 ,  169 ,  1 , 1 298
Coahuila ,  0 ,  5 ,  6 ,  9 ,  5 ,  46 , 1 208 ,  845 , 1 773 , 1 063 , 1 407 ,  10 , 6 377
Colima ,  0 ,  0 ,  0 ,  0 ,  0 ,  7 ,  193 ,  123 ,  244 ,  125 ,  255 ,  1 ,  948
Chiapas ,  1 ,  3 ,  6 ,  6 ,  14 ,  38 ,  977 ,  673 , 1 305 ,  600 , 1 064 ,  18 , 4 705
Chihuahua ,  2 ,  4 ,  1 ,  4 ,  2 ,  55 , 1 017 ,  534 , 1 156 ,  537 , 1 147 ,  16 , 4 475
Distrito Federal ,  0 ,  0 ,  1 ,  2 ,  20 ,  121 , 3 001 , 2 365 , 4 597 , 2 371 , 3 641 ,  10 , 16 129
Durango ,  0 ,  0 ,  0 ,  0 ,  0 ,  18 ,  681 ,  735 , 1 313 ,  913 , 1 376 ,  6 , 5 042
Guanajuato ,  0 ,  0 ,  0 ,  2 ,  6 ,  54 , 1 417 ,  847 , 1 857 ,  976 , 1 762 ,  4 , 6 925
Guerrero ,  0 ,  0 ,  1 ,  1 ,  9 ,  35 , 1 206 ,  729 , 1 392 ,  594 , 1 081 ,  12 , 5 060
Hidalgo ,  0 ,  0 ,  0 ,  0 ,  0 ,  5 ,  451 ,  345 ,  621 ,  318 ,  560 ,  4 , 2 304
Jalisco ,  6 ,  4 ,  12 ,  21 ,  32 ,  60 , 2 314 , 1 424 , 3 698 , 1 997 , 3 899 ,  45 , 13 512
México ,  4 ,  5 ,  4 ,  11 ,  28 ,  94 , 3 395 , 2 679 , 4 596 , 2 592 , 3 820 ,  47 , 17 275
Michoacán ,  0 ,  0 ,  1 ,  4 ,  12 ,  19 ,  702 ,  440 ,  929 ,  497 ,  895 ,  51 , 3 550
Morelos ,  0 ,  0 ,  1 ,  0 ,  0 ,  8 ,  675 ,  645 , 1 076 ,  617 ,  925 ,  17 , 3 964
Nayarit ,  0 ,  0 ,  0 ,  0 ,  2 ,  12 ,  251 ,  192 ,  500 ,  265 ,  481 ,  1 , 1 704
Nuevo León ,  2 ,  2 ,  2 ,  8 ,  22 ,  52 , 1 303 ,  780 , 1 448 ,  690 , 1 049 ,  22 , 5 380
Oaxaca ,  0 ,  0 ,  0 ,  0 ,  1 ,  68 ,  935 ,  591 , 1 123 ,  593 ,  713 ,  14 , 4 038
Puebla ,  1 ,  1 ,  1 ,  5 ,  7 ,  72 , 1 282 ,  892 , 1 999 , 1 240 , 2 413 ,  23 , 7 936
Querétaro ,  0 ,  0 ,  0 ,  0 ,  3 ,  10 ,  504 ,  216 ,  441 ,  185 ,  315 ,  0 , 1 674
Quintana Roo ,  0 ,  0 ,  0 ,  0 ,  1 ,  10 ,  198 ,  109 ,  147 ,  52 ,  71 ,  0 ,  588
San Luis Potosí ,  0 ,  0 ,  0 ,  0 ,  3 ,  27 ,  923 ,  501 , 1 247 ,  578 , 1 061 ,  7 , 4 347
Sinaloa ,  0 ,  2 ,  0 ,  3 ,  10 ,  24 ,  816 ,  636 , 1 458 ,  780 , 1 324 ,  17 , 5 070
Sonora ,  8 ,  1 ,  2 ,  2 ,  7 ,  23 ,  677 ,  401 ,  989 ,  517 ,  825 ,  33 , 3 485
Tabasco ,  52 ,  4 ,  5 ,  4 ,  8 ,  30 ,  663 ,  519 ,  735 ,  336 ,  365 ,  8 , 2 729
Tamaulipas ,  1 ,  3 ,  2 ,  8 ,  4 ,  38 , 1 141 ,  630 , 1 254 ,  537 , 1 008 ,  8 , 4 634
Tlaxcala ,  0 ,  0 ,  0 ,  2 ,  1 ,  2 ,  294 ,  203 ,  407 ,  159 ,  286 ,  0 , 1 354
Veracruz ,  0 ,  1 ,  2 ,  4 ,  6 ,  41 , 1 386 ,  866 , 1 659 ,  753 , 1 199 ,  8 , 5 925
Yucatán ,  0 ,  0 ,  1 ,  2 ,  4 ,  22 ,  601 ,  364 ,  895 ,  390 ,  681 ,  3 , 2 963
Zacatecas ,  0 ,  0 ,  0 ,  0 ,  0 ,  9 ,  340 ,  189 ,  353 ,  181 ,  369 ,  1 , 1 442
TOTAL GLOBAL ,  83 ,  39 ,  61 ,  120 ,  286 , 1 138 , 30 753 , 20 732 , 41 667 , 21 693 , 35 647 ,  402 , 152 621
