Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  0 ,  0 ,  0 ,  5 ,  22 ,  670 ,  419 ,  840 ,  379 ,  466 ,  0 , 2 801
Baja California ,  0 ,  2 ,  9 ,  16 ,  38 ,  190 , 1 971 , 1 132 , 2 410 , 1 048 , 1 267 ,  22 , 8 105
Baja California Sur ,  0 ,  0 ,  1 ,  2 ,  8 ,  20 ,  345 ,  154 ,  321 ,  117 ,  166 ,  0 , 1 134
Campeche ,  0 ,  0 ,  0 ,  0 ,  2 ,  17 ,  416 ,  247 ,  404 ,  140 ,  196 ,  1 , 1 423
Coahuila ,  0 ,  0 ,  0 ,  2 ,  13 ,  76 , 1 942 , 1 255 , 2 807 , 1 338 , 1 953 ,  12 , 9 398
Colima ,  0 ,  0 ,  0 ,  0 ,  0 ,  10 ,  264 ,  148 ,  384 ,  139 ,  259 ,  0 , 1 204
Chiapas ,  1 ,  1 ,  2 ,  2 ,  10 ,  48 , 1 544 , 1 101 , 1 943 ,  799 , 1 321 ,  19 , 6 791
Chihuahua ,  0 ,  0 ,  1 ,  1 ,  11 ,  61 , 1 779 , 1 026 , 2 427 , 1 078 , 1 791 ,  16 , 8 191
Distrito Federal ,  0 ,  0 ,  1 ,  6 ,  34 ,  213 , 4 586 , 3 474 , 6 901 , 3 200 , 5 424 ,  7 , 23 846
Durango ,  0 ,  0 ,  0 ,  0 ,  0 ,  40 , 1 008 ,  698 , 1 492 ,  782 , 1 191 ,  5 , 5 216
Guanajuato ,  0 ,  0 ,  0 ,  5 ,  9 ,  126 , 2 872 , 1 654 , 3 420 , 1 492 , 2 558 ,  5 , 12 141
Guerrero ,  1 ,  1 ,  1 ,  4 ,  12 ,  68 , 1 898 , 1 196 , 2 282 ,  976 , 1 732 ,  14 , 8 185
Hidalgo ,  0 ,  0 ,  0 ,  1 ,  6 ,  21 ,  785 ,  598 ,  969 ,  507 ,  887 ,  2 , 3 776
Jalisco ,  15 ,  22 ,  27 ,  40 ,  88 ,  207 , 3 765 , 2 418 , 6 132 , 2 916 , 5 320 ,  88 , 21 038
México ,  1 ,  1 ,  5 ,  15 ,  44 ,  220 , 5 672 , 4 069 , 8 316 , 3 974 , 5 791 ,  145 , 28 253
Michoacán ,  0 ,  0 ,  0 ,  5 ,  11 ,  30 , 1 213 ,  827 , 1 879 ,  952 , 1 786 ,  3 , 6 706
Morelos ,  0 ,  0 ,  1 ,  1 ,  4 ,  65 , 1 087 ,  941 , 1 823 ,  938 , 1 397 ,  23 , 6 280
Nayarit ,  0 ,  0 ,  0 ,  0 ,  6 ,  18 ,  413 ,  309 ,  604 ,  359 ,  608 ,  3 , 2 320
Nuevo León ,  1 ,  0 ,  4 ,  6 ,  30 ,  147 , 2 135 , 1 207 , 2 341 , 1 038 , 1 587 ,  31 , 8 527
Oaxaca ,  0 ,  1 ,  1 ,  1 ,  11 ,  90 , 1 824 , 1 184 , 2 027 ,  898 , 1 361 ,  7 , 7 405
Puebla ,  0 ,  1 ,  1 ,  14 ,  34 ,  65 , 2 021 , 1 410 , 3 405 , 1 457 , 2 939 ,  4 , 11 351
Querétaro ,  0 ,  0 ,  0 ,  0 ,  1 ,  11 ,  739 ,  359 ,  755 ,  273 ,  489 ,  0 , 2 627
Quintana Roo ,  0 ,  0 ,  0 ,  0 ,  0 ,  11 ,  343 ,  180 ,  271 ,  92 ,  140 ,  1 , 1 038
San Luis Potosí ,  0 ,  0 ,  0 ,  1 ,  10 ,  43 , 1 463 ,  939 , 1 935 ,  827 , 1 358 ,  116 , 6 692
Sinaloa ,  0 ,  1 ,  4 ,  12 ,  16 ,  58 , 1 504 , 1 102 , 2 439 , 1 087 , 1 687 ,  11 , 7 921
Sonora ,  0 ,  0 ,  1 ,  0 ,  2 ,  17 , 1 100 ,  629 , 1 432 ,  535 , 1 001 ,  1 , 4 718
Tabasco ,  1 ,  1 ,  4 ,  2 ,  10 ,  45 , 1 330 ,  721 , 1 142 ,  393 ,  615 ,  4 , 4 268
Tamaulipas ,  3 ,  6 ,  7 ,  5 ,  12 ,  82 , 2 135 , 1 222 , 2 554 , 1 079 , 1 640 ,  18 , 8 763
Tlaxcala ,  0 ,  0 ,  0 ,  1 ,  0 ,  9 ,  401 ,  305 ,  510 ,  225 ,  396 ,  4 , 1 851
Veracruz ,  0 ,  1 ,  0 ,  1 ,  15 ,  114 , 3 016 , 1 730 , 3 475 , 1 341 , 2 063 ,  9 , 11 765
Yucatán ,  0 ,  0 ,  1 ,  5 ,  10 ,  21 , 1 066 ,  723 , 1 668 ,  646 , 1 232 ,  11 , 5 383
Zacatecas ,  0 ,  0 ,  0 ,  1 ,  0 ,  17 ,  532 ,  387 ,  728 ,  295 ,  445 ,  2 , 2 407
TOTAL GLOBAL ,  23 ,  38 ,  71 ,  149 ,  452 , 2 182 , 51 839 , 33 764 , 70 036 , 31 320 , 51 066 ,  584 , 241 524
